0||es ist diese pyramide.||it's that pyramid.
1||durch die muttermilch.||in mother's milk.
2||es enthielt das zwei-, drei-, bis 400-fache des grenzwerts an schadstoffen der laut epa erlaubt war.||it had two-to-three-to-400 times the toxic loads ever allowed by the epa.
3||oft ist es abwasser, was uns verstopft.||often what jams us up is sewage.
4||was macht man, wenn man solch eine unterbrechung im fluss hat?||what do you do when you have this sort of disrupted flow?
5||stephen palumbi: der spur des quecksilbers folgen||stephen palumbi: following the mercury trail
6||sie wären unter meinem niveau.||i really thought they were so beneath me.
7||aber wir hatten damals nicht gemerkt, dass wir einen dritten brauchten, denn der hals war von innen nicht lenkbar, wenn das pferd gleichzeitig laufen sollte.||but we didn't realize at the time that we actually needed a third manipulator, because we couldn't manipulate the neck from inside and walk the horse at the same time.
8||jetzt würden wir euch gerne joey vorstellen.||and now we would like to introduce you to joey.
9||und mikey kann mit seinen fingern den schweif bewegen, von rechts nach links und von oben nach unten mit der anderen hand.||bj: and mikey also has, in his fingers, the ability to move the tail from left to right, and up and down with the other hand.
10||mikey brett - craig - leo zem joaquin und ich.||mikey brett, craig, leo, zem joaquin and basil and me.
11||im winter schläft man viel. man genießt das familienleben im hause.||in winter, there's a lot of sleeping going on; you enjoy your family life inside.
12||während eine globale philanthropie-industrie im entstehen ist, und genau dies geschieht derzeit, sollte man beobachten, welche bestrebungen es gibt, diese alten voraussetzungen über den haufen zu werfen. damit die philanthropie offen und groß und schnell und vernetzt sein wird, auf lange sicht.||the thing to watch for as a global philanthropy industry comes about -- and that's exactly what is happening -- is how the aspiration is to flip these old assumptions, for philanthropy to become open and big and fast and connected, in service of the long term.
13||nun, nicht alle diese versuche, großes aus liebe zu tun, funktionieren gut.||now, all of these big things for love -- experiments -- aren't going to take off.
14||ich reiße die vierte und fünfte kategorie nur kurz an; es sind innovation, wettbewerb und soziale investition.||i'm going to look quickly at the fourth and fifth categories, which are innovation, competitions and social investing.
15||es könnte sein, dass die vor uns liegende soziale singularität diejenige ist, vor der wir uns am meisten fürchten. ein zusammentreffen von katastrophen, von umweltzerstörung, von massenvernichtungswaffen, von pandemien, von armut.||it may be that the social singularity ahead is the one that we fear the most: a convergence of catastrophes, of environmental degradation, of weapons of mass destruction, of pandemics, of poverty.
16||ich glaube, dass es neue, verborgene spannungen gibt die sich tatsächlich zwischen menschen und einrichtungen abspielen -- solche einrichtungen, die menschen in ihrem täglichen leben nutzen: schulen, krankenhäuser, arbeitsplätze, betriebe, büros, usw.||i believe that there are new, hidden tensions that are actually happening between people and institutions -- institutions that are the institutions that people inhabit in their daily life: schools, hospitals, workplaces, factories, offices, etc.
17||der erste herr ist ein bäcker.||the first gentleman, he's a baker.
18||also denken sie an diese drei situationen, von denen ich ihnen erzählt habe: fabrik, migration, büro.||so, think of the three settings i've talked to you about: factory, migration, office.
19||sie lebten oberhalb der geschäfte, in denen sie arbeiteten.||they were living on top of the workshops where they were working.
20||wie viele haben sich jemals hinter das steuer eines autos gesetzt, obwohl man am besten nicht hätte fahren sollen.||so, how many of you have ever gotten behind the wheel of a car when you really shouldn't have been driving?
21||eines der dinge, die wir im labor entwickelt haben – wir haben mehrere fahrzeuge entwickelt – ist, wie wir glauben, das erste autonome driftauto der welt.||one of the things that we've developed in the lab -- we've developed several vehicles -- is what we believe is the world's first autonomously drifting car.
22||es ist klar, dass wir nicht einfach ein paar elektroden auf seinem kopf anbringen und genau verstehen, was alle seine gedanken auf der strecke sind.||now, clearly we're not going to put a couple of electrodes on his head and understand exactly what all of his thoughts are on the track.
23||sehen sie die mentale belastung und wie er lenkt.||watch the mental workload, and watch the steering.
24||also, heute werde ich ihnen von ein paar menschen erzählen, die nie aus ihrer heimatstadt weggezogen sind.||so today, i'm going to tell you about some people who didn't move out of their neighborhoods.
25||deswegen hat vor ein paar jahren das l.a. county beschlossen, 2,5 milliarden dollar auszugeben, um die städtischen schulen zu reparieren.||so a few years ago, l.a. county decided that they needed to spend 2.5 billion dollars to repair the city schools.
26||ich meine, ihre heimatstadt heißt wortwörtlich whitesville, west virginia,||i mean, literally, her hometown is called whitesville, west virginia.
27||diese drei leute wissen alle, wie man produktiv dollars durch unsere lokalen wirtschaftssysteme leitet, um bestehenden bedarf zu befriedigen, derzeitige soziale probleme zu reduzieren und zukünftige probleme zu verhindern.||so these three guys all understand how to productively channel dollars through our local economies to meet existing market demands, reduce the social problems that we have now and prevent new problems in the future.
28||unsere gemeinden, ländliche und städtische, bedienen den operativen teil der infrastruktur – sachen wie müllbeseitigung, energiebedarf, genauso wie die sozialen kosten von arbeitslosigkeit, drop-out-raten, inhaftiergungs-raten und die folgen von verschiedenen kosten des gesundheitswesens.||our municipalities, rural and urban, play the operational course of infrastructure -- things like waste disposal, energy demand, as well as social costs of unemployment, drop-out rates, incarceration rates and the impacts of various public health costs.
29||und das buch ließ mich jene theorie überdenken, denn, ich muss erklären, was ich damit meine.||and reading that book made me reexamine that theory because i need to explain what i mean by that.
30||und ich denke ehrlich gesagt, zu beginn waren meine programme ihrer zeit ein wenig voraus.||and i think because early on, frankly, my programs were just a little bit ahead of their time.
31||und meine frage ist, wie haben wir es so weit gebracht?||and my question is, how did we get from there to here?
32||ich besuchte gehörlosenvereine.||i went to deaf clubs.
